"Initiative Name","Item Name","PO Number","CMS Job No.","Total Quantity","Delivery Country","Quantity","No. of Pallets","Size of Pallet (h x w x d)","Assembled Product Size (h x w x d)","Outer Pack Size (h x w x d)","Artwork/Promotion","Claim","Artwork Version","Die Cut Version","Artwork Due date","Actual artwork received date","Artwork approved date","Requested Delivery date","Confirmed Delivery Date","Updated Delivery Date","Actual Date Delivered","CMS POD (Y/N)","GR (Y/N)","Invoiced (Y/N)","Labelling","Delivery Address","Booking In Details","Comments","Supplier","PDF downdloaded from Box.com","Approval from Box.com","Status","Orderer","Unit Cost (EUR)","Order Total (EUR)"
"Alette (BM - restage)","Wobbler without Die Cut - New Baked to Perfection Artwork","","","","Southern Europe Cluster","300","","","120mm x 120mm","Filled A4 boxes","","","","","2015-09-04T11:00:00Z","2015-10-6 9:7","","2015-11-30T12:00:00Z","","","","","","","","Spain: SLI-UTI","","","","","","ORDER SUBMITTED","robert.radford@kellogg.com","0.43","129.00"
"Alette (BM - restage)","Wobbler without Die Cut - New Double Choc Flavour","","","","Southern Europe Cluster","1500","","","120mm x 120mm","Filled A4 boxes","","","","","2015-09-04T11:00:00Z","2015-10-6 9:7","","2015-11-30T12:00:00Z","","","","","","","","Italy: Kellogg Italia S.p.A.","","","","","","ORDER SUBMITTED","robert.radford@kellogg.com","0.43","645.00"
"Alette (BM - restage)","Wobbler without Die Cut - New Double Choc Flavour","","","","Southern Europe Cluster","165","","","120mm x 120mm","Filled A4 boxes","","","","","2015-09-04T11:00:00Z","2015-10-6 9:7","","2015-11-30T12:00:00Z","","","","","","","","Spain: SLI-UTI","","","","","","ORDER SUBMITTED","robert.radford@kellogg.com","0.43","70.95"
"Alette (BM - restage)","Sweet 2 Facing FSDU with x1 doublesided header - limited edition flavour","","","","UK and ROI Cluster","300","","","1320mm (h) (1565mm including Header) x 350mm (w) x 410mm (d)","830mm x 850mm x 35mm","","","","","2015-09-04T11:00:00Z","2015-10-2 12:32","","2015-11-30T12:00:00Z","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","robert.radford@kellogg.com","0","0.00"
"Alette (BM - restage)","UK Dump Bin with x1 double sided header - limited edition flavour","","","","UK and ROI Cluster","150","","","TBC","TBC","","","","","2015-09-04T11:00:00Z","2015-10-2 12:32","","2015-11-30T12:00:00Z","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ORDER SUBMITTED","robert.radford@kellogg.com","0","0.00"
"Alette (BM - restage)","UK Dump Bin with x1 double sided header - limited edition flavour","","","","UK and ROI Cluster","500","","","TBC","TBC","","","","","2015-09-04T11:00:00Z","2015-10-2 12:32","","2015-11-30T12:00:00Z","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","robert.radford@kellogg.com","0","0.00"
"Ancient Legends Q1 2016","3 Facing FSDU (doy bag)","","","","FraBeNeLux Cluster","200","","","1400mm (h) x 610mm (w) x 350mm (d)

1590mm (h) including header","TBC","","","","","2015-10-09T11:00:00Z","2015-10-29 16:7","","2015-12-14T12:00:00Z","","","","","","","","Netherlands: Schenker","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","31.80","6360.00"
"Ancient Legends Q1 2016","3 Facing FSDU (doy bag)","","","","FraBeNeLux Cluster","240","","","1400mm (h) x 610mm (w) x 350mm (d)

1590mm (h) including header","TBC","","","","","2015-10-09T11:00:00Z","2015-10-29 16:7","","2015-12-14T12:00:00Z","","","","","","","","Belgium: Schenker","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","31.80","7632.00"
"Ancient Legends Q1 2016","Totem/Standee WITHOUT Product","","","","FraBeNeLux Cluster","100","","","1500mm x 500mm
","Must not exceed 900mm x 900mm x 172mm

","","","","","2015-10-09T11:00:00Z","2015-10-29 16:7","","2015-12-14T12:00:00Z","","","","","","","","Netherlands: Schenker","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","11.89","1189.00"
"Ancient Legends Q1 2016","Totem/Standee WITHOUT Product","","","","FraBeNeLux Cluster","120","","","1500mm x 500mm
","Must not exceed 900mm x 900mm x 172mm

","","","","","2015-10-09T11:00:00Z","2015-10-29 16:7","","2015-12-14T12:00:00Z","","","","","","","","Belgium: Schenker","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","11.89","1426.80"
"Ancient Legends Q1 2016","Totem/Standee WITHOUT Product","","","","FraBeNeLux Cluster","680","","","1500mm x 500mm
","Must not exceed 900mm x 900mm x 172mm

","","","","","2015-10-09T11:00:00Z","2015-10-29 16:7","","2015-12-14T12:00:00Z","","","","","","","","France: SOFTMARKETING","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","11.89","8085.20"
"Ancient Legends Q1 2016","1/2 pallet FSDU (3 layers and 4 facings)","","","","Northern Europe Cluster","500","","","830mm x 800mm x 600mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-10-09T11:00:00Z","","","2015-12-14T12:00:00Z","","","","","","","","Finland: Move Elevator GmbH & Co","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","21.06","10530.00"
"Ancient Legends Q1 2016","Corner Board - 4 per set","","","","Northern Europe Cluster","500","","","900mm x 300mm x 300mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-10-09T11:00:00Z","","","2015-12-14T12:00:00Z","","","","","","","","Finland: Move Elevator GmbH & Co","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","11.61","5805.00"
"Ancient Legends Q1 2016","Display Flag","","","","Northern Europe Cluster","3000","","","1184mm x 200mm
","1190mm x 330mm x 5mm
","","","","","2015-10-09T11:00:00Z","","","2015-12-14T12:00:00Z","","","","","","","","Denmark: Move Elevator GmbH & Co","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","2.81","8430.00"
"Ancient Legends Q1 2016","Display Flag","","","","Northern Europe Cluster","7500","","","1184mm x 200mm
","1190mm x 330mm x 5mm
","","","","","2015-10-09T11:00:00Z","","","2015-12-14T12:00:00Z","","","","","","","","Switzerland: Move Elevator GmbH & Co.","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","2.81","21075.00"
"Ancient Legends Q1 2016","Standee / Totem 1.9","","","","Northern Europe Cluster","1100","","","1900mm x 630mm","710mm x 630mm x 430mm","","","","","2015-10-09T11:00:00Z","","","2015-12-14T12:00:00Z","","","","","","","","Germany: Move Elevator GmbH & Co.","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","13.03","14333.00"
"Ancient Legends Q1 2016","Totem/Standee WITHOUT Product","","","","Northern Europe Cluster","600","","","1500mm x 500mm
","Must not exceed 900mm x 900mm x 172mm

","","","","","2015-10-09T11:00:00Z","","","2015-12-14T12:00:00Z","","","","","","","","Denmark: Move Elevator GmbH & Co","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","11.89","7134.00"
"Ancient Legends Q1 2016","Wobbler","","","","Northern Europe Cluster","300","","","120mm x 120mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-10-09T11:00:00Z","","","2015-12-14T12:00:00Z","","","","","","","","Finland: Move Elevator GmbH & Co","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","0.73","219.00"
"Ancient Legends Q1 2016","Wobbler","","","","Northern Europe Cluster","300","","","120mm x 120mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-10-09T11:00:00Z","","","2015-12-14T12:00:00Z","","","","","","","","Norway: Move Elevator GmbH & Co.","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","0.73","219.00"
"Ancient Legends Q1 2016","Wobbler","","","","Northern Europe Cluster","3500","","","120mm x 120mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-10-09T11:00:00Z","","","2015-12-14T12:00:00Z","","","","","","","","Switzerland: Move Elevator GmbH & Co.","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","0.73","2555.00"
"Ancient Legends Q1 2016","Wobbler","","","","Northern Europe Cluster","400","","","120mm x 120mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-10-09T11:00:00Z","","","2015-12-14T12:00:00Z","","","","","","","","Sweden: Move Elevator GmbH & Co.","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","0.73","292.00"
"Ancient Legends Q1 2016","Wobbler","","","","Northern Europe Cluster","500","","","120mm x 120mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-10-09T11:00:00Z","","","2015-12-14T12:00:00Z","","","","","","","","Denmark: Move Elevator GmbH & Co","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","0.73","365.00"
"Ancient Legends Q1 2016","2 Facing FSDU (doy bag)","","","","UK and ROI Cluster","1","","","1331mm (h) x 412mm (w) x 300mm (d)

1595mm (h) including header","TBC","","","","","2015-10-09T11:00:00Z","2015-10-23 10:35","","2015-12-14T12:00:00Z","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","29.45","29.45"
"Ancient Legends Q1 2016","2 Facing FSDU (doy bag)","","","","UK and ROI Cluster","300","","","1331mm (h) x 412mm (w) x 300mm (d)

1595mm (h) including header","TBC","","","","","2015-10-09T11:00:00Z","2015-10-23 10:35","","2015-12-14T12:00:00Z","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","29.45","8835.00"
"Ancient Legends Q1 2016","3 Facing FSDU (doy bag)","","","","UK and ROI Cluster","150","","","1400mm (h) x 610mm (w) x 350mm (d)

1590mm (h) including header","TBC","","","","","2015-10-09T11:00:00Z","2015-10-23 10:35","","2015-12-14T12:00:00Z","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","31.80","4770.00"
"Ancient Legends Q1 2016","3 Facing FSDU (doy bag)","","","","UK and ROI Cluster","500","","","1400mm (h) x 610mm (w) x 350mm (d)

1590mm (h) including header","TBC","","","","","2015-10-09T11:00:00Z","2015-10-23 10:35","","2015-12-14T12:00:00Z","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","31.80","15900.00"
"Ancient Legends Q1 2016","Aisle fin","","","","UK and ROI Cluster","100","","","600mm (h) x 160mm (w)
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-10-09T11:00:00Z","2015-10-23 10:35","","2015-12-14T12:00:00Z","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","2.88","288.00"
"Ancient Legends Q1 2016","Corner Board - 4 per set","","","","UK and ROI Cluster","300","","","900mm x 300mm x 300mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-10-09T11:00:00Z","2015-10-23 10:35","","2015-12-14T12:00:00Z","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","11.61","3483.00"
"Ancient Legends Q1 2016","Corner Board - 4 per set","","","","UK and ROI Cluster","50","","","900mm x 300mm x 300mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-10-09T11:00:00Z","2015-10-23 10:35","","2015-12-14T12:00:00Z","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","11.61","580.50"
"Ancient Legends Q1 2016","Dunnes Gondola End Kits (2 Side Panels + Header Board) (ROI)","","","","UK and ROI Cluster","125","","","""Header: 385mm (h) x 645mm (w)
Side Panel: 1730mm (h) x 395mm (w)""
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-10-09T11:00:00Z","2015-10-23 10:35","","2015-12-14T12:00:00Z","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","15.20","1900.00"
"Ancient Legends Q1 2016","Pallet Roll","","","","UK and ROI Cluster","70","","","""Image size: 980mm x 300mm
Roll length: 19,600mm (19.6m) = 20 images long.""
","Unknown - not been produced.
","","","","","2015-10-09T11:00:00Z","2015-10-23 10:35","","2015-12-14T12:00:00Z","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","24.58","1720.60"
"Ancient Legends Q1 2016","SEL's (pk 4)","","","","UK and ROI Cluster","443","","","110mm wide x 39mm tall.  ","","","","","","2015-10-09T11:00:00Z","2015-10-23 10:35","","2015-12-14T12:00:00Z","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","1.00","443.00"
"Ancient Legends Q1 2016","SEL's (pk 4)","","","","UK and ROI Cluster","500","","","110mm wide x 39mm tall.  ","","","","","","2015-10-09T11:00:00Z","2015-10-23 10:35","","2015-12-14T12:00:00Z","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","1.00","500.00"
"Back To School Q3 2015","Mega Brand 5 Shelf FSDU","","","","Belgium","300","","","1359mm (h) (1587mm including Header) x 661mm (w) x 288mm (d)","996mm x 896mm x 43mm","","","","","2015-04-30T11:00:00Z","2015-4-24 15:30","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","22.76","6828.00"
"Back To School Q3 2015","Mega Brand Dump Bin","","","","Belgium","120","","","900mm (h) (1630 including Header) x 400mm (w) x 400mm (d)
","916mm x 646mm x 33mm
","","","","","2015-04-30T11:00:00Z","2015-4-24 15:30","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","20.71","2485.20"
"Back To School Q3 2015","Standee/Totem - 1.9m h","","","","Belgium","120","","","1900mm x 630mm","512 x 412 x 50mm","","","","","2015-04-30T11:00:00Z","2015-4-24 15:30","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","10.70","1284.00"
"Back To School Q3 2015","Wobbler with Die Cut","","","","Belgium","1200","","","148mm x 108mm 
","Filled A4 boxes
","","","","","2015-04-30T11:00:00Z","2015-4-24 15:30","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","0.38","456.00"
"Back To School Q3 2015","Mega Brand 5 Shelf FSDU","","","","Netherlands","190","","","1359mm (h) (1587mm including Header) x 661mm (w) x 288mm (d)","996mm x 896mm x 43mm","","","","","2015-04-30T11:00:00Z","2015-4-24 15:11","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","22.76","4324.40"
"Back To School Q3 2015","Mega Brand Dump Bin","","","","Netherlands","100","","","900mm (h) (1630 including Header) x 400mm (w) x 400mm (d)
","916mm x 646mm x 33mm
","","","","","2015-04-30T11:00:00Z","2015-4-24 15:11","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","20.71","2071.00"
"Back To School Q3 2015","Standee/Totem - 1.9m h","","","","Netherlands","100","","","1900mm x 630mm","512 x 412 x 50mm","","","","","2015-04-30T11:00:00Z","2015-4-24 15:11","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","10.70","1070.00"
"Back To School Q3 2015","Mega Brand 5 Shelf FSDU","","","","ROI","0","","","1359mm (h) (1587mm including Header) x 661mm (w) x 288mm (d)","996mm x 896mm x 43mm","","","","","2015-04-30T11:00:00Z","","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","","","22.76","0.00"
"Back To School Q3 2015","Mega Brand Dump Bin","","","","ROI","0","","","900mm (h) (1630 including Header) x 400mm (w) x 400mm (d)
","916mm x 646mm x 33mm
","","","","","2015-04-30T11:00:00Z","","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","","","20.71","0.00"
"Back To School Q3 2015","Special K Sweet 2 Facings FSDU (UK & ROI)","","","","ROI","0","","","Height – 1320mm
Height with Header – 1565mm
Width – 430mm approx.
Depth – 410mm","Height – 766mm
Width – 906mm
Depth – 43mm
","","","","","2015-04-30T11:00:00Z","","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","","","34.86","0.00"
"Back To School Q3 2015","Mega Brand 5 Shelf FSDU","","","","UK","0","","","1359mm (h) (1587mm including Header) x 661mm (w) x 288mm (d)","996mm x 896mm x 43mm","","","","","2015-04-30T11:00:00Z","","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","","","22.76","0.00"
"Back To School Q3 2015","Mega Brand Dump Bin","","","","UK","0","","","900mm (h) (1630 including Header) x 400mm (w) x 400mm (d)
","916mm x 646mm x 33mm
","","","","","2015-04-30T11:00:00Z","","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","","","20.71","0.00"
"Back To School Q3 2015","Special K Sweet 2 Facings FSDU (UK & ROI)","","","","UK","0","","","Height – 1320mm
Height with Header – 1565mm
Width – 430mm approx.
Depth – 410mm","Height – 766mm
Width – 906mm
Depth – 43mm
","","","","","2015-04-30T11:00:00Z","","","2015-06-15T11:00:00Z","","","","","","","","","","","","","","","","34.86","0.00"
"Back to School UK Q3 2016","2 Facing FSDU with shelves for snacks","","","","UK and ROI Cluster","136","","","1331mm (h) x 412mm (w) x 300mm (d)

1595mm (h) including header","TBC
","","","","","2016-05-13T12:00:00Z","2016-5-26 14:11","","","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","29.45","4005.20"
"Back to School UK Q3 2016","Corner boards","","","","UK and ROI Cluster","359","","","","","","","","","2016-05-13T12:00:00Z","2016-5-26 14:11","","","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","11.61","4167.99"
"Back to School UK Q3 2016","Gondola Side Panel","","","","UK and ROI Cluster","100","","","1920mm x 500mm","1000mm x 520mm x 25mm","","","","","2016-05-13T12:00:00Z","2016-5-26 14:11","","","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","11.56","1156.00"
"Back to School UK Q3 2016","Gondola Side Panel x 2 - ROI / Super Value","","","","UK and ROI Cluster","200","","","295mm (w) x 1729mm (h)
","Estimated: 880x300x25mm 
","","","","","2016-05-13T12:00:00Z","2016-5-26 14:11","","","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","22.79","4558.00"
"Back to School UK Q3 2016","Pallet front bus","","","","UK and ROI Cluster","200","","","","","","","","","2016-05-13T12:00:00Z","2016-5-26 14:11","","","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","75.00","15000.00"
"Back to School UK Q3 2016","Pallet front bus","","","","UK and ROI Cluster","240","","","","","","","","","2016-05-13T12:00:00Z","2016-5-26 14:11","","","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","75.00","18000.00"
"Back to School UK Q3 2016","Pallet Skirt","","","","UK and ROI Cluster","235","","","UK: 150mm Height, 1010mm depth, 1210mm width (Made up)  Euro: 150mm Height, 1010mm depth, 1210mm width (Made up)","45mm x 630mm x 155mm","","","","","2016-05-13T12:00:00Z","2016-5-26 14:11","","","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","18.2","4277.00"
"Back to School UK Q3 2016","Pallet Skirt","","","","UK and ROI Cluster","50","","","UK: 150mm Height, 1010mm depth, 1210mm width (Made up)  Euro: 150mm Height, 1010mm depth, 1210mm width (Made up)","45mm x 630mm x 155mm","","","","","2016-05-13T12:00:00Z","2016-5-26 14:11","","","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","18.2","910.00"
"Back to School UK Q3 2016","Quarter Pallet with Shelf for Snacks","","","","UK and ROI Cluster","232","","","1470mm x 600mm x 400mm","
LOOKING INTO REDUCING OUTER PACK SIZE TO MAX 900 X 900 X 172MM","","","","","2016-05-13T12:00:00Z","2016-5-26 14:11","","","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","24.95","5788.40"
"Back to School UK Q3 2016","SELs for FSDUs only (4 per pack)","","","","UK and ROI Cluster","588","","","39mm x 145mm","N/A","","","","","2016-05-13T12:00:00Z","2016-5-26 14:11","","","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","1.00","588.00"
"Back to School UK Q3 2016","Single cereal FSDU (1 wide) ","","","","UK and ROI Cluster","420","","","1400mm x 280mm x 300mm","Must not exceed 900mm x 900mm x 172mm","","","","","2016-05-13T12:00:00Z","2016-5-26 14:11","","","","","","","","","","UK: CPM","","","","","","ORDER SUBMITTED","Rachel.Moss@kellogg.com","11.44","4804.80"
